Proposed pillar,Proposed pillar meaning,Primary VDEI pillar code,Primary VDEI pillar name,Primary VDEI pillar meaning,Secondary related pillar - not for scoring,Excel code,Indicator,Indicator meaning,Unit,Formula / operationalization,Cleaned source detail (no Questionnaire),Recommended source URL(s),Detailed data access / crawl instruction for IT,Frequency,Collection method,Update suitability,Tier / decision,2023 data,2024 data,2025 data,Data evidence / notes for 2023-2025,Notes
P6. Hạ tầng số & niềm tin,"Đo điều kiện nền tảng như internet, broadband, 4G/5G, tốc độ mạng, an toàn dữ liệu và tuân thủ bảo mật.",INF,Digital Infrastructure / Hạ tầng số,"Đo mức độ sẵn sàng của hạ tầng Internet, mobile broadband, tốc độ mạng, tài nguyên Internet, cloud và an toàn dữ liệu để TMĐT vận hành ổn định.",ENV,F04,4G/5G population coverage,Tỷ lệ dân số được phủ sóng 4G/5G.,%,4G/5G population coverage = population covered by 4G/5G / total population * 100.,Source: GSMA / ITU / regulator; Exact: GSMA Mobile Connectivity/coverage resources; ITU DataHub Vietnam dashboard,https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights,"1) Search keyword: ""DataReportal Digital {year} Vietnam"" or open https://datareportal.com/digital-in-vietnam.
 2) Select the report matching the target year, e.g. Digital 2023: Vietnam, Digital 2024: Vietnam, Digital 2025: Vietnam.
 3) Crawl the HTML article first because headline statistics are available in text; optionally download/parse the embedded slide deck if needed.
 4) Search within page for: ""internet users"", ""internet penetration"", ""social media users"", ""mobile connections"", ""ecommerce"".
 5) Extract value, unit, date basis (normally January/start of year), source note (Kepios/GSMA/Meta/etc.), and URL.
 6) Standardize date as YYYY-01 and mark as start-of-year observation.
 7) Manual QA: DataReportal can revise methodology, so keep the exact report URL/year and do not mix values across global and country reports.
 
 - Source: GSMA / ITU / regulator; Exact: GSMA Mobile Connectivity/coverage resources; ITU DataHub Vietnam dashboard
 - Recommended starting URL(s): https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights
 - Row-specific search keywords: 4G/5G population coverage, F04, %",Yearly / Semiannual,API/HTML/PDF extraction; scheduled monthly/annual refresh depending source.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P6. Hạ tầng số & niềm tin,"Đo điều kiện nền tảng như internet, broadband, 4G/5G, tốc độ mạng, an toàn dữ liệu và tuân thủ bảo mật.",INF,Digital Infrastructure / Hạ tầng số,"Đo mức độ sẵn sàng của hạ tầng Internet, mobile broadband, tốc độ mạng, tài nguyên Internet, cloud và an toàn dữ liệu để TMĐT vận hành ổn định.",ENV,F05,Average fixed broadband speed,Tốc độ truy cập Internet cố định trung bình.,Mbps,Median fixed broadband download speed in Mbps.,Source: Ookla Speedtest Global Index; Exact: External link: https://www.speedtest.net/global-index,https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights; https://www.speedtest.net/global-index/vietnam,"1) Search keyword: ""DataReportal Digital {year} Vietnam"" or open https://datareportal.com/digital-in-vietnam.
 2) Select the report matching the target year, e.g. Digital 2023: Vietnam, Digital 2024: Vietnam, Digital 2025: Vietnam.
 3) Crawl the HTML article first because headline statistics are available in text; optionally download/parse the embedded slide deck if needed.
 4) Search within page for: ""internet users"", ""internet penetration"", ""social media users"", ""mobile connections"", ""ecommerce"".
 5) Extract value, unit, date basis (normally January/start of year), source note (Kepios/GSMA/Meta/etc.), and URL.
 6) Standardize date as YYYY-01 and mark as start-of-year observation.
 7) Manual QA: DataReportal can revise methodology, so keep the exact report URL/year and do not mix values across global and country reports.
 
 - Source: Ookla Speedtest Global Index; Exact: External link: https://www.speedtest.net/global-index
 - Recommended starting URL(s): https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights; https://www.speedtest.net/global-index/vietnam
 - Row-specific search keywords: Average fixed broadband speed, F05, Mbps",Monthly,API/HTML/PDF extraction; scheduled monthly/annual refresh depending source.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P6. Hạ tầng số & niềm tin,"Đo điều kiện nền tảng như internet, broadband, 4G/5G, tốc độ mạng, an toàn dữ liệu và tuân thủ bảo mật.",INF,Digital Infrastructure / Hạ tầng số,"Đo mức độ sẵn sàng của hạ tầng Internet, mobile broadband, tốc độ mạng, tài nguyên Internet, cloud và an toàn dữ liệu để TMĐT vận hành ổn định.",ENV,F06,Average mobile broadband speed,Tốc độ truy cập Internet di động trung bình.,Mbps,Median mobile broadband download speed in Mbps.,Source: Ookla Speedtest Global Index; Exact: External link: https://www.speedtest.net/global-index,https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights; https://www.speedtest.net/global-index/vietnam,"1) Search keyword: ""DataReportal Digital {year} Vietnam"" or open https://datareportal.com/digital-in-vietnam.
 2) Select the report matching the target year, e.g. Digital 2023: Vietnam, Digital 2024: Vietnam, Digital 2025: Vietnam.
 3) Crawl the HTML article first because headline statistics are available in text; optionally download/parse the embedded slide deck if needed.
 4) Search within page for: ""internet users"", ""internet penetration"", ""social media users"", ""mobile connections"", ""ecommerce"".
 5) Extract value, unit, date basis (normally January/start of year), source note (Kepios/GSMA/Meta/etc.), and URL.
 6) Standardize date as YYYY-01 and mark as start-of-year observation.
 7) Manual QA: DataReportal can revise methodology, so keep the exact report URL/year and do not mix values across global and country reports.
 
 - Source: Ookla Speedtest Global Index; Exact: External link: https://www.speedtest.net/global-index
 - Recommended starting URL(s): https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights; https://www.speedtest.net/global-index/vietnam
 - Row-specific search keywords: Average mobile broadband speed, F06, Mbps",Monthly,API/HTML/PDF extraction; scheduled monthly/annual refresh depending source.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P6. Hạ tầng số & niềm tin,"Đo điều kiện nền tảng như internet, broadband, 4G/5G, tốc độ mạng, an toàn dữ liệu và tuân thủ bảo mật.",ENV,The policy and institutional environment / Môi trường chính sách và thể chế,"Đo khung pháp lý, chính sách hỗ trợ, mức độ thuận lợi cho kinh doanh số, giao dịch điện tử, thương mại xuyên biên giới và bảo vệ dữ liệu.",INF,F09,Personal data protection compliance,Mức độ tuân thủ quy định bảo vệ dữ liệu cá nhân.,Index / % by category,Personal data protection compliance = compliant enterprises/websites / audited enterprises/websites * 100.,,https://online.gov.vn/tra-cuu; https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights,"1) Search keyword: ""DataReportal Digital {year} Vietnam"" or open https://datareportal.com/digital-in-vietnam.
 2) Select the report matching the target year, e.g. Digital 2023: Vietnam, Digital 2024: Vietnam, Digital 2025: Vietnam.
 3) Crawl the HTML article first because headline statistics are available in text; optionally download/parse the embedded slide deck if needed.
 4) Search within page for: ""internet users"", ""internet penetration"", ""social media users"", ""mobile connections"", ""ecommerce"".
 5) Extract value, unit, date basis (normally January/start of year), source note (Kepios/GSMA/Meta/etc.), and URL.
 6) Standardize date as YYYY-01 and mark as start-of-year observation.
 7) Manual QA: DataReportal can revise methodology, so keep the exact report URL/year and do not mix values across global and country reports.
 
 - Recommended starting URL(s): https://online.gov.vn/tra-cuu; https://datareportal.com/reports/digital-2025-vietnam; https://api.worldbank.org/v2/country/VNM/indicator/IT.NET.USER.ZS?format=json; https://datahub.itu.int/data/?e=VNM; https://vnnic.vn/en/insights
 - Row-specific search keywords: Personal data protection compliance, F09, Index / % by category",Yearly,API/HTML/PDF extraction; scheduled monthly/annual refresh depending source.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ENV,H01,B2C cross-border import GMV,Nhập khẩu trực tuyến B2C của người tiêu dùng Việt Nam.,Billion USD,B2C cross-border import GMV = estimated online consumer imports in period t.,Source: EBI 2025 cross-border study; Exact: EBI 2025 cross-border methodology/results p.71: online import B2C 2024 = 2.4 tỷ USD,https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI 2025 cross-border study; Exact: EBI 2025 cross-border methodology/results p.71: online import B2C 2024 = 2.4 tỷ USD
 - Recommended starting URL(s): https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: B2C cross-border import GMV, H01, Billion USD",Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ENV,H02,B2C cross-border export GMV,Xuất khẩu trực tuyến B2C tới người tiêu dùng nước ngoài.,Billion USD,B2C cross-border export GMV = estimated online exports to end-consumers in period t.,Source: EBI 2025 cross-border study; Exact: EBI 2025 cross-border methodology/results p.71: online export B2C 2024 = 1.7 tỷ USD,https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI 2025 cross-border study; Exact: EBI 2025 cross-border methodology/results p.71: online export B2C 2024 = 1.7 tỷ USD
 - Recommended starting URL(s): https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: B2C cross-border export GMV, H02, Billion USD",Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ENV,H03,% enterprises using e-commerce for import/export,Tỷ lệ doanh nghiệp sử dụng website/ứng dụng TMĐT cho mục đích XNK hoặc xuất khẩu.,%,% enterprises using e-commerce for import/export = enterprises using e-commerce for cross-border trade / surveyed enterprises * 100.,Source: EBI; Exact: EBI 2024 Hình 27 p.36; EBI 2025 Hình 22 p.37-38; EBI 2023 Hình 33 p.42,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI; Exact: EBI 2024 Hình 27 p.36; EBI 2025 Hình 22 p.37-38; EBI 2023 Hình 33 p.42
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: % enterprises using e-commerce for import/export, H03, %",Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ENV,H04,Export revenue share via e-commerce,Tỷ trọng giá trị xuất khẩu qua TMĐT trong tổng giá trị xuất khẩu của doanh nghiệp.,%,Export revenue share via e-commerce = e-commerce export revenue / total export revenue * 100.,Source: EBI; Exact: EBI 2024 Hình 28 p.36; EBI 2025 text near Hình 23 p.38 reports 51% firms below 10%,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Source: EBI; Exact: EBI 2024 Hình 28 p.36; EBI 2025 text near Hình 23 p.38 reports 51% firms below 10%
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: Export revenue share via e-commerce, H04, %",Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",ENV,H07,International platform usage,"Tỷ lệ doanh nghiệp sử dụng Alibaba, Amazon, eBay, regional Shopee/Lazada, Etsy, AliExpress...",%,International platform usage = enterprises using international marketplaces / surveyed exporters * 100.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: International platform usage, H07, %",Quarterly / Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P8. TMĐT xuyên biên giới & môi trường hỗ trợ,"Đo quy mô nhập/xuất khẩu B2C online, mức tham gia quốc tế của doanh nghiệp, sử dụng nền tảng quốc tế và nhu cầu hỗ trợ.",ENV,The policy and institutional environment / Môi trường chính sách và thể chế,"Đo khung pháp lý, chính sách hỗ trợ, mức độ thuận lợi cho kinh doanh số, giao dịch điện tử, thương mại xuyên biên giới và bảo vệ dữ liệu.",EC-DN,H10,Desired support index for cross-border e-commerce,Nhu cầu hỗ trợ mong muốn từ nhà nước/hiệp hội/đối tác cho TMĐT xuyên biên giới.,Index,Desired support index = weighted score of support needs from enterprise cross-border survey.,,https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document,"1) Search keyword: ""Báo cáo Chỉ số Thương mại điện tử Việt Nam EBI {year} VECOM PDF"" or open https://vecom.vn/ and https://en.vecom.vn/.
 2) Open the EBI article for the target year and download the Vietnamese/English PDF; also keep the PDF URL if hosted on esc.vn or vecom.vn.
 3) Use the report table of contents to locate sections on infrastructure, B2C, B2B, G2B, cross-border e-commerce, payment, logistics, website, social commerce, marketplace, e-contract/e-signature.
 4) In the PDF, search keywords from the indicator name and Vietnamese equivalents: ""website"", ""sàn thương mại điện tử"", ""mạng xã hội"", ""hợp đồng điện tử"", ""chữ ký điện tử"", ""thanh toán"", ""logistics"", ""xuất nhập khẩu"", ""bán hàng"".
 5) Extract chart/figure number, page number, respondent base if shown, percentage/value, year, and notes.
 6) If the value is by province, preserve province_code/province_name and aggregate only if the report explicitly gives national average.
 7) Manual QA: EBI is annual and methodology can change; keep a ""method_version"" field for each year.
 
 - Recommended starting URL(s): https://vecom.vn/bao-cao-chi-so-thuong-mai-dien-tu-viet-nam-2025; https://esc.vn/wp-content/uploads/2025/07/Bao-cao-EBI-2025-Final-Vn.pdf; https://accesspartnership.com/wp-content/uploads/2026/04/E-Commerce-Export-A-New-Growth-Driver_VN.pdf; https://m.media-amazon.com/images/G/28/AS/AGS/images/website/VNSellDot/seller-report-2025/Amazon_Vietnam_SMEs_Empowerment_Report_2025_ENG_org.pdf; https://idea.gov.vn/?page=document
 - Row-specific search keywords: Desired support index for cross-border e-commerce, H10, Index",Yearly,Annual report/PDF extraction plus survey/partner data.,High for research index; medium for near-real-time dashboard,Tier 1 - Core public/periodic,,,,,
P1. Quy mô & hiệu quả thị trường,"Đo quy mô, tốc độ tăng trưởng và cấu trúc giá trị của thị trường TMĐT Việt Nam.",EC-DN,E-commerce Business Performance / Hiệu quả TMĐT phía doanh nghiệp,"Đo quy mô thị trường, doanh thu, giao dịch, kênh bán hàng, thanh toán, logistics và hiệu quả vận hành của doanh nghiệp/nền tảng TMĐT.",,A05,E-commerce order volume,Tổng số đơn hàng TMĐT phát sinh trong kỳ.,Count,Order volume_t = count(successful e-commerce orders in period t).,Source: Marketplace / OMS / seller ERP / logistics partner data; Exact: N/A public standard source; requires partner feed or internal order-event warehouse,https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/,"1) Search keyword: ""e-Conomy SEA {year} Vietnam report Google Temasek Bain"" or go directly to https://economysea.withgoogle.com/.
 2) Click ""Download reports"" and select Vietnam country report or the full SEA report for the target year.
 3) Download the PDF and store it with metadata fields: report_year, country, source_url, downloaded_at.
 4) Use PDF text extraction first; if the page is a chart, use OCR/table extraction on the Vietnam country pages.
 5) For this indicator, search within the PDF using keywords from the indicator name plus: ""e-commerce"", ""GMV"", ""digital economy"", ""video commerce"", ""DFS"", ""gross transaction value"".
 6) Extract value, unit, year/forecast year, page number, chart title, and footnote. Flag values as ""actual/estimate/forecast"" because e-Conomy SEA often reports estimated current-year values.
 7) Manual QA: compare with Google Vietnam/Bain press release for the same report year before publishing to dashboard.
 
 - Source: Marketplace / OMS / seller ERP / logistics partner data; Exact: N/A public standard source; requires partner feed or internal order-event warehouse
 - Recommended starting URL(s): https://economysea.withgoogle.com/; https://services.google.com/fh/files/misc/vietnam_e_conomy_sea_2025_report.pdf; https://ecommerce.metric.vn/vietnam-ecommerce-report-2025; https://www.younetgroup.com/younet-vietnam-e-commerce-intelligence-2025-report-from-consumer-behavior-to-breakthrough-growth-on-e-commerce/; https://www.similarweb.com/; https://www.sensortower.com/
 - Row-specific search keywords: E-commerce order volume, A05, Count",Daily / Monthly,Partner/API/licensed feed preferred; fallback report extraction where public.,High for web dashboard if data-sharing/API secured,Tier 2 - Core but partner/paid feed needed,,,,,
